site name,site_num,sample_id,heat_island,micro_hab,uhii_year,max_humidity,min_humidity ,sample_lat,sample_long,sample_lat_humidity,sample_long_humidity,moss_pres,num_species,species_present,Canopy cover directions 1,Canopy cover directions 2,Canopy cover directions 3,Canopy cover directions 4,can_cov,growth_sub,growth_cat,dist_walk_m,dist_walk_cat,dist_road_m,dist_road_cat,dist_water_m,dist_water_cat,direc_found,num_col,water_pres,moss_area_m2,NOTES,,,
"foothills blvd, slymar",14,14.3,1,urban,2188.75,74.41643524,33.12109756,34.291111,-118.4125,34.291111,-118.4125,0,0,NA,95,93,29,66,26.30,concrete,2,0,,2,,NA,,center,0,0,0,,,,
"strathern st, pasadena",15,15.1,1,residential,761.49,80.70410919,33.87726212,34.215833,-118.371944,34.215833,-118.371944,1,1,,94,59,51,76,27.08,dirt,0,0,,1.23,,NA,,center,14,1,0.074,,,,
"strathern st, pasadena",15,15.2,1,residential,761.49,80.70410919,33.87726212,34.215556,-118.371944,34.215556,-118.371944,1,2,,16,85,48,60,45.57,dirt,0,1.1,,0.1,,NA,,west,40,1,0.012,,,,
"strathern st, pasadena",15,15.3,1,residential,761.49,80.70410919,33.87726212,34.215833,-118.372222,34.215833,-118.372222,1,2,,64,85,57,72,27.60,dirt,0,1.1,,0.1,,NA,,north,31,1,0.0412,,,,
la cañada teepee,16,16.1,4,greenspace,33134.6,65.85232544,32.63040924,34.224444,-118.195833,34.224444,-118.195833,1,4,,47,34,66,9,59.38,dirt,"3, 0",2.4,,NA,,NA,,east,65,0,0.05,,,,
la cañada teepee,16,16.2,4,greenspace,33134.6,65.85232544,32.63040924,34.224444,-118.195833,34.224444,-118.195833,1,5,,4,5,4,3,95.83,dirt,"3, 0",2.7,,NA,,NA,,north,74,0,0.029,,,,
la cañada teepee,16,16.3,4,greenspace,33134.6,65.85232544,32.63040924,34.223333,-118.196389,34.223333,-118.196389,0,0,NA,11,2,12,8,91.41,dirt,0,0,,NA,,NA,,center,23,0,0,,,,
"foothill blvd, la verne",17,17.1,4,urban,27998.2,79.51808167,35.31479645,34.11083333,-117.7630556,34.11083333,-117.7630556,1,1,,76,96,94,95,5.99,dirt,0,5.7,,0.13,,NA,,center,11,0,0.048,,,,
"foothill blvd, la verne",17,17.2,4,urban,27998.2,79.51808167,35.31479645,34.11138889,-117.7633333,34.11138889,-117.7633333,1,1,,4,39,70,27,63.54,dirt,0,5,,0.62,,NA,,south,7,0,0.003,,,,
"foothill blvd, la verne",17,17.3,4,urban,27998.2,79.51808167,35.31479645,34.11111111,-117.7633333,34.11111111,-117.7633333,0,0,NA,93,94,96,96,1.30,dirt,"0, 2",5.5,,0,,NA,,center,5,0,0,,,,
"los encinos park, la verne",18,18.1,4,greenspace,30834.8,79.51808167,35.31479645,34.12694444,-117.7838889,34.12694444,-117.7838889,1,1,,21,47,88,82,38.02,dirt,0,0,,NA,,NA,,south,27,0,0.014,,,,
"los encinos park, la verne",18,18.2,4,greenspace,30834.8,79.51808167,35.31479645,34.12694444,-117.7838889,34.12694444,-117.7838889,1,1,,5,67,3,0,80.47,dirt ,0,0,,NA,,NA,,north,32,0,0.017,,,,
"los encinos park, la verne",18,18.3,4,greenspace,30834.8,79.51808167,35.31479645,34.12694444,-117.7841667,34.12694444,-117.7841667,1,1,,81,79,68,78,20.31,dirt ,0,0,,NA,,NA,,north,4,0,0.011,,,,
san dimas canyon community regional park,19,19.1,4,greenspace,27098.9,70.45424652,36.05397415,34.1275,-117.7925,34.1275,-117.7925,1,NA,NA,25,40,4,14,78.39,dirt,0,5.8,,16.2,,NA,,west,13,0,0.008,,,,
san dimas canyon community regional park,19,19.2,4,greenspace,27098.9,70.45424652,36.05397415,34.12722222,-117.7927778,34.12722222,-117.7927778,0,0,NA,6,14,8,12,89.58,dirt,0,21.6,,9.6,,NA,,south,2,0,0,,,,
san dimas canyon community regional park,19,19.3,4,greenspace,27098.9,70.45424652,36.05397415,34.1275,-117.7930556,34.1275,-117.7930556,0,0,NA,8,10,7,10,90.89,dirt,0,>30,,17,,NA,,west,0,0,0,,,,
"overland ct, san dimas",20,20.1,3,urban,24984.2,77.49671173,33.85397339,34.11138889,-117.8263889,34.11138889,-117.8263889,1,1,,3,18,53,92,56.77,dirt,0,>30,,4.9,,NA,,east,25,0,0.035,,,,
"overland ct, san dimas",20,20.2,3,urban,24984.2,77.49671173,33.85397339,34.11166667,-117.8263889,34.11166667,-117.8263889,1,1,,95,43,48,72,32.81,dirt,0,>30,,0.04,,NA,,east,44,0,0.01,,,,
"overland ct, san dimas",20,20.3,3,urban,24984.2,77.49671173,33.85397339,34.11194444,-117.8261111,34.11194444,-117.8261111,1,1,,6,59,30,80,54.43,dirt,0,>30,,0.04,,NA,,west,27,0,0.045,,,,
legg lake,21,21.1,2,waterway,14055.4,82.69287872,39.36328888,34.03666667,-118.0575,34.03666667,-118.0575,1,1,,96,86,77,16,28.39,dirt,0,7.6,,NA,,14.8,,north,39,0,0.008,,,,
legg lake,21,21.2,2,waterway,14055.4,82.69287872,39.36328888,34.03666667,-118.0575,34.03666667,-118.0575,0,0,NA,77,86,17,13,49.74,dirt,0,2.4,,NA,,17.1,,center,0,0,0,,,,
legg lake,21,21.3,2,waterway,14055.4,82.69287872,39.36328888,34.03694444,-118.0577778,34.03694444,-118.0577778,1,1,,10,85,13,49,59.11,"dirt, tree bark","0, 1",2.9,,NA,,14.4,,west,2,0,0.007,,,,
legg lake 2,23,23.1,2,waterway,14055.4,82.69287872,39.36328888,34.03833333,-118.0633333,34.03833333,-118.0633333,0,0,NA,96,95,10,53,33.85,sand,5,>30,,NA,,13.2,,east,10,0,0,,,,
legg lake 2,23,23.2,2,waterway,14055.4,82.69287872,39.36328888,34.03805556,-118.0633333,34.03805556,-118.0633333,0,0,NA,21,47,94,64,41.15,dirt,0,29.5,,21.4,,>30,,west,11,0,0,,,,
legg lake 2,23,23.3,2,waterway,14055.4,82.69287872,39.36328888,34.03805556,-118.0633333,34.03805556,-118.0633333,0,0,NA,95,81,70,22,30.21,sand,"0, 5",24.5,,26.8,,>30,,east,0,0,0,,,,
"w thirteenth st, azusa",24,24.1,4,residential,27212.8,71.11726379,33.54328918,34.14444444,-117.9069444,34.14444444,-117.9069444,1,1,,17,29,84,84,44.27,dirt,0,0,,1.35,,NA,,east,27,0,0.009,,,,
"w thirteenth st, azusa",24,24.2,4,residential,27212.8,71.11726379,33.54328918,34.14472222,-117.9077778,34.14472222,-117.9077778,0,0,NA,14,96,79,96,25.78,concrete,2,0,,1.55,,NA,,east,0,0,0,,,,
"w thirteenth st, azusa",24,24.3,4,residential,27212.8,71.11726379,33.54328918,34.14444444,-117.9072222,34.14444444,-117.9072222,1,1,,96,83,92,92,5.47,dirt,0,1.2,,0.12,,NA,,south,7,0,5.13E-04,,,,
santa fe dam rec area,25,25.1,3,waterway,22124,74.04356384,33.36684799,34.11138889,-117.9436111,34.11138889,-117.9436111,1,1,,1,0,9,29,89.84,dirt,0,4.4,,NA,,21.4,,west,12,0,0.01,,,,
santa fe dam rec area,25,25.2,3,waterway,22124,74.04356384,33.36684799,34.11138889,-117.9436111,34.11138889,-117.9436111,0,0,NA,6,25,5,27,83.59,dirt,0,2,,18.1,,>30,,center,100,0,0,,,,
santa fe dam rec area,25,25.3,3,waterway,22124,74.04356384,33.36684799,34.11638889,-117.94,34.11638889,-117.94,1,1,,37,96,96,70,22.14,dirt,0,0,,14,,NA,,north,4,0,5.13E-04,in concrete crack ,,,
"phoebe ct, west covina",26,26.1,3,residential,18176.3,79.92383575,36.68000031,34.01777778,-117.8908333,34.01777778,-117.8908333,1,1,,11,39,18,39,72.14,dirt,0,7.7,,8.7,,NA,,east,125,0,0.048,,,,
"phoebe ct, west covina",26,26.2,3,residential,18176.3,79.92383575,36.68000031,34.01777778,-117.8911111,34.01777778,-117.8911111,0,0,NA,96,96,60,70,16.15,dirt,0,10.4,,13,,NA,,west,0,0,0,,,,
"phoebe ct, west covina",26,26.3,3,residential,18176.3,79.92383575,36.68000031,34.01805556,-117.8905556,34.01805556,-117.8905556,0,0,NA,81,58,48,13,47.92,dirt,0,0.29,,17,,NA,,north,0,0,0,,,,
peter schabarum park,27,27.1,2,greenspace,11353.2,85.85452271,40.74767303,,,33.99083333,-117.9322222,0,0,NA,89,50,86,82,20.05,dirt,0,0.5,,>30,,NA,,north,3,0,0,,,,
peter schabarum park,27,27.2,2,greenspace,11353.2,85.85452271,40.74767303,33.99055556,-117.9319444,33.99055556,-117.9319444,0,0,NA,84,77,19,82,31.77,dirt,0,4.75,,>30,,NA,,center,7,0,0,,,,
peter schabarum park,27,27.3,2,greenspace,11353.2,85.85452271,40.74767303,33.98972222,-117.9302778,33.98972222,-117.9302778,0,0,NA,88,55,58,81,26.56,dirt,0,18.2,,>30,,NA,,south,0,0,0,,,,
chino creek,28,28.1,3,waterway,23571,82.34383392,35.96082306,33.96888889,-117.6847222,33.96888889,-117.6847222,0,0,NA,96,96,96,96,0.00,dirt,0,>30,,>30,,NA,,center,0,0,0,,,,
chino creek,28,28.2,3,waterway,23571,82.34383392,35.96082306,33.96861111,-117.6847222,33.96861111,-117.6847222,0,0,NA,96,96,96,96,0.00,dirt,0,16.4,,>30,,NA,,south,0,0,0,,,,
chino creek,28,28.3,3,waterway,23571,82.34383392,35.96082306,33.96888889,-117.6852778,33.96888889,-117.6852778,0,0,NA,96,96,96,96,0.00,dirt,0,11,,>30,,NA,,center,0,0,0,,,,
"sam's cafe, claremont",29,29.1,4,urban,27198.9,79.56629944,35.25205612,34.082778,-117.719167,34.082778,-117.719167,1,1,,62,14,3,4,78.39,dirt,0,2,,7.22,,NA,,west,102,0,0.071,,,,
"sam's cafe, claremont",29,29.2,4,urban,27198.9,79.56629944,35.25205612,34.082778,-117.719444,34.082778,-117.719444,1,2,,11,18,20,18,82.55,dirt,0,0,,8.6,,NA,,east,4,0,0.003,,,,
"sam's cafe, claremont",29,29.3,4,urban,27198.9,79.56629944,35.25205612,34.083056,-117.719444,34.083056,-117.719444,1,1,,21,51,7,29,71.88,dirt,0,0,,8.6,,NA,,east,48,0,5.85E-04,,,,
"N harvard ave, claremont",30,30.1,4,urban,27507.7,77.79451752,35.82410812,34.106667,-117.716389,34.106667,-117.716389,1,1,,0,1,4,28,91.41,dirt,0,0,,3.5,,NA,,center,9,0,7.76E-09,,,,
"N harvard ave, claremont",30,30.2,4,urban,27507.7,77.79451752,35.82410812,34.106667,-117.716667,34.106667,-117.716667,1,1,,33,60,3,4,73.96,dirt,0,0.2,,3.6,,NA,,north,59,0,0.002,,,,
"N harvard ave, claremont",30,30.3,4,urban,27507.7,77.79451752,35.82410812,34.106944,-117.716667,34.106944,-117.716667,0,0,NA,96,9,33,96,39.06,concrete,2,0,,3.5,,NA,,center,53,0,0,,,,
"via del marino, la verne",31,31.1,4,residential,30834.8,70.64109802,35.87561798,34.144722,-117.762778,34.144722,-117.762778,1,1,,42,9,76,24,60.68,dirt,0,0.12,,1.5,,NA,,south,9,0,0.005,,,,
"via del marino, la verne",31,31.2,4,residential,30834.8,70.64109802,35.87561798,34.144444,-117.762778,34.144444,-117.762778,1,1,,71,91,78,10,34.90,asphalt,4,0.4,,0,,NA,,west,3,0,1.33E-04,,,,
"via del marino, la verne",31,31.3,4,residential,30834.8,70.64109802,35.87561798,34.144167,-117.762778,34.144167,-117.762778,0,0,NA,3,19,96,3,68.49,dirt,0,0,,1.5,,NA,,center,0,0,0,,,,
"bonelli park, san dimas",32,32.1,3,greenspace,20882.7,78.60520172,34.66164398,34.078333,-117.801111,34.078333,-117.801111,1,1,,70,7,5,15,74.74,tree root,6,0.8,,7.9,,NA,,center,4,0,0.003,,,,
"bonelli park, san dimas",32,32.2,3,greenspace,20882.7,78.60520172,34.66164398,34.078056,-117.801111,34.078056,-117.801111,0,0,NA,7,84,58,3,60.42,dirt,0,10.3,,23.3,,NA,,west,0,0,0,,,,
"bonelli park, san dimas",32,32.3,3,greenspace,20882.7,78.60520172,34.66164398,,,34.078056,-117.801111,0,0,NA,29,7,6,25,82.55,dirt,0,2,,>30,,NA,,west,0,0,0,,,,
"garsden ave, covina",33,33.1,3,residential,21984.5,78.9167099,34.38602829,34.086944,-117.8525,34.086944,-117.8525,1,1,,7,60,8,7,78.65,dirt,0,0.1,,2.2,,NA,,center,6,0,0.002,,,,
"garsden ave, covina",33,33.2,3,residential,21984.5,78.9167099,34.38602829,34.087222,-117.8525,34.087222,-117.8525,1,1,,72,20,24,15,65.89,dirt,0,0,,2.17,,NA,,north,4,0,7.30E-04,,,,
"garsden ave, covina",33,33.3,3,residential,21984.5,78.9167099,34.38602829,34.086944,-117.8525,34.086944,-117.8525,0,0,NA,25,96,18,95,39.06,dirt,0,0,,2,,NA,,center,4,0,0,,,,
"grand ave x crestview pl, moNAovia",34,34.1,4,residential,26358.9,72.06219482,32.85424805,34.160833,-117.993611,34.160833,-117.993611,1,,,27,29,68,34,58.85,dirt,0,0.15,,1.7,,NA,,west,58,0,0.059,,,,
"grand ave x crestview pl, moNAovia",34,34.2,4,residential,26358.9,72.06219482,32.85424805,34.160833,-117.993611,34.160833,-117.993611,0,0,NA,93,96,96,96,0.78,dirt,0,0,,1.9,,NA,,center,0,0,0,,,,
"grand ave x crestview pl, moNAovia",34,34.3,4,residential,26358.9,74.70438385,33.40958786,34.161111,-117.993889,34.161111,-117.993889,0,0,NA,80,96,96,96,4.17,dirt,0,0,,1.3,,NA,,center,0,0,0,,,,
bailey canyon trail,35,35.1,4,waterway,27050.2,62.53369904,33.29040909,34.174444,-118.061389,34.174444,-118.061389,1,,,26,7,11,3,87.76,rock,3,10.3,,>30,,0.4,,west,19,1,0.024,* along creek,,,
bailey canyon trail,35,35.2,4,waterway,27050.2,62.53369904,33.29040909,34.173889,-118.061389,34.173889,-118.061389,0,0,NA,4,5,21,3,91.41,dirt,0,10.5,,>30,,0.3,,center,17,0,0,,,,
bailey canyon trail,35,35.3,4,waterway,27050.2,62.53369904,33.29040909,34.174167,-118.061389,34.174167,-118.061389,1,,,84,12,18,5,69.01,rock,3,1.3,,>30,,8.5,,east,5,1,0.017,,,,
"bailey canyon trail
 2",36,36.1,4,waterway,27050.2,62.53369904,33.29040909,34.175278,-118.061389,34.175278,-118.061389,1,,,24,88,30,46,51.04,rock ,3,0.2,,>30,,13,,center,3,0,0.02,*36 is along walking trail adjacent to creek,,,
"bailey canyon trail
 2",36,36.2,4,waterway,27050.2,74.03671265,33.67589188,34.155,-118.069722,34.155,-118.069722,0,0,NA,32,30,24,9,75.26,dirt,0,0,,>30,,15,,south,0,0,0,*among 2 species of liverwort not in quadrat ,,,
"bailey canyon trail
 2",36,36.3,4,waterway,27050.2,62.53369904,33.29040909,34.175278,-118.061667,34.175278,-118.061667,0,0,NA,96,32,12,47,51.30,dirt,0,0,,>30,,10.5,,south,0,0,0,,,,
"bailey canyon trail
 3",37,37.1,4,waterway,27050.2,62.53369904,33.29040909,34.176111,-118.061389,34.176111,-118.061389,1,,,13,30,27,6,80.21,"rock, dirt","3, 0",1.5,,>30,,5.5,,north,24,0,0.002,*along trail/creek bed,,,
"bailey canyon trail
 3",37,37.2,4,waterway,27050.2,62.53369904,33.29040909,34.176111,-118.061389,34.176111,-118.061389,1,,,0,39,16,44,74.22,rock,3,0.7,,>30,,2.5,,east,51,1,0.052,*moss in huge patches with liverwort and lichen,,,
"bailey canyon trail
 3",37,37.3,4,waterway,27050.2,62.53369904,33.29040909,34.176389,-118.061667,34.176389,-118.061667,1,,,14,19,24,12,82.03,rock,3,1.2,,>30,,2.1,,south,21,0,0.022,,,,
"n san gabriel blvd, san gabriel",38,38.1,3,urban,17777,80.21698761,35.0320549,34.103611,-118.090278,34.103611,-118.090278,1,,,0,82,46,79,46.09,dirt,0,0.5,,0.25,,NA,,north,10,0,0.016,,,,
"n san gabriel blvd, san gabriel",38,38.2,3,urban,17777,80.21698761,35.0320549,34.103611,-118.090556,34.103611,-118.090556,0,0,NA,21,90,86,8,46.61,concrete,2,0,,0.1,,NA,,south,0,0,0,,,,
"n san gabriel blvd, san gabriel",38,38.3,3,urban,17777,80.21698761,35.0320549,34.103611,-118.090556,34.103611,-118.090556,0,0,NA,49,17,0,41,72.14,concrete,2,0,,2.25,,NA,,west,0,0,0,,,,
"lower arroyo park area, pasadena",39,39.1,3,greenspace,19568.4,81.50027466,34.6627388,34.138056,-118.168333,34.138056,-118.168333,1,,,91,9,50,23,54.95,dirt,0,0,,>30,,NA,,north,17,0,0.013,,,,
"lower arroyo park area, pasadena",39,39.2,3,greenspace,19568.4,81.50027466,34.6627388,34.138056,-118.168333,34.138056,-118.168333,0,0,NA,62,92,63,52,29.95,dirt,0,0,,>30,,NA,,west,0,0,0,,,,
"lower arroyo park area, pasadena",39,39.3,3,greenspace,19568.4,81.50027466,34.6627388,34.139444,-118.1675,34.139444,-118.1675,1,,,2,0,18,67,77.34,dirt,0,0,,>30,,NA,,north,21,0,0.031,,,,
"yosemite rec center, eagle rock",40,40.1,3,greenspace,17402,78.70986176,35.76548004,34.131944,-118.2075,34.131944,-118.2075,1,,,0,48,96,43,51.30,dirt,0,3.15,,>30,,NA,,center,8,0,0.006,nearby machinery w tube that *may* release water,,,
"yosemite rec center, eagle rock",40,40.2,3,greenspace,17402,78.70986176,35.76548004,34.132778,-118.207778,34.132778,-118.207778,0,0,NA,96,48,85,72,21.61,dirt,0,14.5,,>30,,NA,,center,0,0,0,covered in grass,,,
"yosemite rec center, eagle rock",40,40.3,3,greenspace,17402,78.70986176,35.76548004,34.132222,-118.206944,34.132222,-118.206944,0,0,NA,96,31,69,82,27.60,dirt,0,16.6,,23.6,,NA,,center,0,0,0,,,,
"ernest w debs regional park, montecito",41,41.1,2,greenspace,11770.6,81.71643829,40.93862915,34.09,-118.193889,34.09,-118.193889,0,0,NA,11,2,13,28,85.94,dirt,0,4,,>30,,NA,,south,5,0,0,,,,
